306674982,Rachel,Mizrahi,F,1972-01-28,"30 Herzl St, Beersheba",593355531,N,None
591839254,Yosef,Shalom,M,1956-10-01,"80 Ben Gurion St, Haifa",541722501,N,Oxygen Tank
383641443,Rachel,Cohen,F,1982-12-11,"25 Dizengoff St, Beersheba",547653941,N,Oxygen Tank
893684024,Yosef,Gabay,M,1978-05-10,"28 Dizengoff St, Beersheba",579570174,N,Oxygen Tank
198401039,Yosef,Levi,M,1978-05-16,"17 Ben Gurion St, Jerusalem",508429257,N,None
543629152,Moshe,Gabay,M,1978-04-14,"40 Dizengoff St, Haifa",554723928,N,None
329416185,Yaakov,Cohen,M,1988-11-01,"98 Dizengoff St, Haifa",515674036,N,Oxygen Tank
575650818,Esther,Azoulay,F,1954-07-16,"78 Dizengoff St, Tel Aviv",554523889,N,None
682247730,Yosef,Biton,M,1997-05-27,"87 Herzl St, Beersheba",502437943,Y,Wheelchair
510369863,Leah,Levi,F,2006-10-03,"28 Ben Gurion St, Haifa",597506683,Y,Wheelchair
189899416,Amit,Shalom,F,1972-02-20,"88 Herzl St, Jerusalem",527113929,N,Oxygen Tank
946244382,Esther,Ohayon,F,1960-09-13,"9 Herzl St, Eilat",508127902,N,Oxygen Tank
586562174,Noa,Azoulay,F,1988-09-06,"62 Herzl St, Haifa",509573626,Y,Wheelchair
232412113,Rachel,Azoulay,F,2000-01-17,"69 Ben Gurion St, Beersheba",545266322,N,None
895588198,Amit,Peretz,F,2000-01-23,"89 Jabotinsky St, Haifa",507137548,N,Guide Dog
328312992,Amit,Gabay,F,1981-11-11,"10 Ben Gurion St, Jerusalem",505405618,N,None
502455034,David,Harari,M,1964-10-18,"26 Jabotinsky St, Jerusalem",522508682,N,Oxygen Tank
351451084,Miriam,Peretz,F,2006-04-08,"14 Jabotinsky St, Jerusalem",583419800,N,None
440428166,Amit,Cohen,F,1973-05-04,"31 Jabotinsky St, Eilat",577589303,Y,Wheelchair
326216990,Leah,Gabay,F,1976-01-25,"91 Dizengoff St, Beersheba",537773251,N,None
149181012,David,Biton,M,1993-07-12,"99 Jabotinsky St, Haifa",501168878,N,Guide Dog
754151802,David,Ohayon,M,1950-03-05,"40 Ben Gurion St, Tel Aviv",588652404,N,None
546960294,Esther,Levi,F,2008-02-01,"54 Jabotinsky St, Haifa",591714678,N,Oxygen Tank
738045160,Esther,Cohen,F,1969-09-24,"21 Dizengoff St, Tel Aviv",593120020,N,None
155898237,Yaakov,Gabay,M,1997-11-25,"42 Ben Gurion St, Eilat",587031328,N,None
144374344,Moshe,Mizrahi,M,1975-04-18,"19 Jabotinsky St, Jerusalem",511093086,N,None
794952734,Esther,Harari,F,1976-03-28,"21 Dizengoff St, Jerusalem",502236457,Y,Wheelchair
920666292,Amit,Harari,F,1960-11-11,"10 Jabotinsky St, Eilat",537185784,Y,Wheelchair
595469585,Leah,Peretz,F,1971-03-16,"32 Jabotinsky St, Eilat",517408094,N,None
877834494,Moshe,Shalom,M,1959-06-07,"5 Ben Gurion St, Beersheba",581034925,N,Guide Dog
322279900,Noa,Cohen,F,1972-01-24,"49 Dizengoff St, Tel Aviv",563567675,N,Guide Dog
121433639,Leah,Mizrahi,F,1986-01-20,"30 Herzl St, Beersheba",579376831,Y,Wheelchair
236809338,Noa,Harari,F,1977-02-04,"28 Herzl St, Tel Aviv",547766298,Y,Wheelchair
